Data,Zamkniecie
2018-11-24,3880.76
2018-11-25,4009.97
2018-11-26,3779.13
2018-11-27,3820.72
2018-11-28,4257.42
2018-11-29,4278.84645524
2018-11-30,4017.26845712
2018-12-01,4214.67193177
2018-12-02,4139.8780641
2018-12-03,3894.1309069
2018-12-04,3956.89386975
2018-12-05,3753.99482663
2018-12-06,3521.10172384
2018-12-07,3419.93720035
2018-12-08,3476.11471452
2018-12-09,3614.23427278
2018-12-10,3502.65599577
2018-12-11,3424.58807495
2018-12-12,3486.95014412
2018-12-13,3313.67725772
2018-12-14,3242.48476281
2018-12-15,3236.76164502
2018-12-16,3252.83902595
2018-12-17,3545.86476058
2018-12-18,3696.05912776
2018-12-19,3745.95076478
2018-12-20,4134.44120304
2018-12-21,3896.54371704
2018-12-22,4014.18251388
2018-12-23,3998.98034184
2018-12-24,4078.59919478
2018-12-25,3815.49060966
2018-12-26,3857.29751969
2018-12-27,3654.83353854
2018-12-28,3923.91859424
2018-12-29,3820.40868219
2018-12-30,3865.95257679
2018-12-31,3742.70033544
2019-01-01,3843.51996727
2019-01-02,3943.40933686
2019-01-03,3836.74131867
2019-01-04,3857.71761887
2019-01-05,3845.19446017
2019-01-06,4076.63268458
2019-01-07,4025.24828708
2019-01-08,4030.84799935
2019-01-09,4035.29636921
2019-01-10,3678.92468128
2019-01-11,3687.3654818
2019-01-12,3661.30098975
2019-01-13,3552.95306759
2019-01-14,3706.05222041
2019-01-15,3630.67522467
2019-01-16,3655.00688578
2019-01-17,3678.56397636
2019-01-18,3657.83943502
2019-01-19,3728.56836493
2019-01-20,3601.0135915
2019-01-21,3576.03243928
2019-01-22,3604.57705248
2019-01-23,3585.12306636
2019-01-24,3600.86550122
2019-01-25,3599.7658879
2019-01-26,3602.46043861
2019-01-27,3583.96576317
2019-01-28,3470.45054223
2019-01-29,3448.11702209
2019-01-30,3486.18175093
2019-01-31,3457.79274724
2019-02-01,3487.94538683
2019-02-02,3521.06078726
2019-02-03,3464.01332586
2019-02-04,3459.15414635
2019-02-05,3466.35743916
2019-02-06,3413.7677183
2019-02-07,3399.47164359
2019-02-08,3666.78035061
2019-02-09,3671.20370545
2019-02-10,3690.18824383
2019-02-11,3648.43062774
2019-02-12,3653.52864497
2019-02-13,3632.07060268
2019-02-14,3616.88097021
2019-02-15,3620.81075285
2019-02-16,3629.78749138
2019-02-17,3673.83629289
2019-02-18,3915.71447331
2019-02-19,3947.09440657
2019-02-20,3999.82050882
2019-02-21,3954.1182433
2019-02-22,4005.52660406
2019-02-23,4142.52692999
2019-02-24,3810.42743065
2019-02-25,3882.69629339
2019-02-26,3854.35793575
2019-02-27,3851.04747978
2019-02-28,3854.78528208
2019-03-01,3859.58375221
2019-03-02,3864.41510673
2019-03-03,3847.17569934
